sid,MFD_true,MFD_false,MFD_SD_true,MFD_SD_false,MFD_overall,MFD_SD_overall,MSA_true,MSA_false,MSA_SD_true,MSA_SD_false,MSA_overall,MSA_SD_overall
s1,298.53846153846155,236.78571428571428,125.03329734029646,80.59083479565913,256.3658536585366,101.08502967438486,4.829614792512213,4.9462716281890735,2.2432442164000412,1.9842355671170866,4.909143694109875,2.070900862624139
s5,235.7289719626168,240.51098901098902,122.3147135900885,108.20024877644965,238.74048442906573,113.65405435070745,4.139915131975452,3.925778907852179,1.9901885967733952,2.1922146153016695,4.003365630387616,2.1237353935599748
s7,243.91970802919707,267.46440677966103,134.30676610585397,145.99864610785286,259.99768518518516,142.81570776189332,4.403889062085887,4.371821601227413,2.1083252040814546,2.8185898350108056,4.382054518715652,2.613041987860143
s18,174.92,192.39329805996474,140.49188446312476,161.10024755127,187.04651162790697,155.29409156375579,6.524776635310555,5.928870252047451,4.47914407566093,5.448939536497658,6.120084768794722,5.165154754324562
s19,174.57198443579767,190.64885496183206,139.31311370766872,156.5908327805387,186.1184210526316,152.09304058371032,6.516197630436861,5.651538259333362,4.451038536450572,5.2830267003304945,5.9128755394411625,5.06164874097824
s21,209.36330935251797,227.73257287705957,233.95531075565435,218.55684214469218,222.94657919400188,222.8173441242005,6.358525634630261,5.4078947085390485,4.390056076785894,4.941108615821885,5.669814382154376,4.814376185287665
s27,220.2622478386167,232.2741935483871,217.3273413563031,208.3292500605742,229.01018010963196,210.8800236894792,5.865667044610611,5.352824185725951,4.136860327613958,4.908757272792555,5.497991227271415,4.708804856976994
s33,212.82083333333333,227.738592420727,219.04372942247298,231.68637902230859,223.69994359842076,228.4289712513153,5.437646674934244,5.143569414250595,3.9220480414152656,4.518177489423299,5.226883505824285,4.359591550811711
